ProductKey,EnglishProductName
1,Adjustable Race
486,All-Purpose Bike Stand
223,AWC Logo Cap
224,AWC Logo Cap
225,AWC Logo Cap
3,BB Ball Bearing
2,Bearing Ball
484,Bike Wash - Dissolver
5,Blade
447,Cable Lock
559,Chain
13,Chain Stays
11,Chainring
9,Chainring Bolts
10,Chainring Nut
473,"Classic Vest, L"
472,"Classic Vest, M"
471,"Classic Vest, S"
178,Cone-Shaped Race
12,Crown Race
177,Cup-Shaped Race
14,Decal 1
15,Decal 2
16,Down Tube
88,External Lock Washer 1
90,External Lock Washer 2
82,External Lock Washer 3
83,External Lock Washer 4
85,External Lock Washer 5
87,External Lock Washer 6
86,External Lock Washer 7
89,External Lock Washer 8
84,External Lock Washer 9
485,Fender Set - Mountain
22,Flat Washer 1
24,Flat Washer 2
27,Flat Washer 3
26,Flat Washer 4
29,Flat Washer 5
23,Flat Washer 6
30,Flat Washer 7
28,Flat Washer 8
25,Flat Washer 9
31,Fork Crown
20,Fork End
21,Freewheel
555,Front Brakes
552,Front Derailleur
32,Front Derailleur Cage
33,Front Derailleur Linkage
470,"Full-Finger Gloves, L"
469,"Full-Finger Gloves, M"
468,"Full-Finger Gloves, S"
34,Guide Pulley
466,"Half-Finger Gloves, L"
467,"Half-Finger Gloves, L"
464,"Half-Finger Gloves, M"
465,"Half-Finger Gloves, M"
462,"Half-Finger Gloves, S"
463,"Half-Finger Gloves, S"
77,Handlebar Tube
78,Head Tube
451,Headlights - Dual-Beam
452,Headlights - Weatherproof
4,Headset Ball Bearings
65,Hex Nut 1
66,Hex Nut 10
67,Hex Nut 11
63,Hex Nut 12
64,Hex Nut 13
72,Hex Nut 14
73,Hex Nut 15
56,Hex Nut 16
57,Hex Nut 17
75,Hex Nut 18
76,Hex Nut 19
68,Hex Nut 2
69,Hex Nut 20
70,Hex Nut 21
61,Hex Nut 22
62,Hex Nut 23
71,Hex Nut 3
74,Hex Nut 4
54,Hex Nut 5
55,Hex Nut 6
58,Hex Nut 7
59,Hex Nut 8
60,Hex Nut 9
483,Hitch Rack - 4-Bike
603,HL Bottom Bracket
8,HL Crankarm
558,HL Crankset
393,HL Fork
37,HL Grip Tape
396,HL Headset
80,HL Hub
304,"HL Mountain Frame - Black, 38"
305,"HL Mountain Frame - Black, 38"
306,"HL Mountain Frame - Black, 38"
296,"HL Mountain Frame - Black, 42"
297,"HL Mountain Frame - Black, 42"
298,"HL Mountain Frame - Black, 42"
299,"HL Mountain Frame - Black, 44"
301,"HL Mountain Frame - Black, 46"
302,"HL Mountain Frame - Black, 46"
303,"HL Mountain Frame - Black, 46"
300,"HL Mountain Frame - Black, 48"
307,"HL Mountain Frame - Silver, 38"
308,"HL Mountain Frame - Silver, 38"
309,"HL Mountain Frame - Silver, 38"
288,"HL Mountain Frame - Silver, 42"
289,"HL Mountain Frame - Silver, 42"
290,"HL Mountain Frame - Silver, 42"
291,"HL Mountain Frame - Silver, 44"
293,"HL Mountain Frame - Silver, 46"
294,"HL Mountain Frame - Silver, 46"
295,"HL Mountain Frame - Silver, 46"
292,"HL Mountain Frame - Silver, 48"
412,HL Mountain Front Wheel
401,HL Mountain Handlebars
402,HL Mountain Handlebars
544,HL Mountain Pedal
421,HL Mountain Rear Wheel
182,HL Mountain Rim
189,HL Mountain Seat Assembly
517,HL Mountain Seat/Saddle
537,HL Mountain Tire
170,HL Nipple
439,"HL Road Frame - Black, 44"
440,"HL Road Frame - Black, 44"
441,"HL Road Frame - Black, 48"
442,"HL Road Frame - Black, 48"
443,"HL Road Frame - Black, 52"
444,"HL Road Frame - Black, 52"
210,"HL Road Frame - Black, 58"
437,"HL Road Frame - Black, 62"
438,"HL Road Frame - Black, 62"
241,"HL Road Frame - Red, 44"
242,"HL Road Frame - Red, 44"
243,"HL Road Frame - Red, 44"
244,"HL Road Frame - Red, 48"
245,"HL Road Frame - Red, 48"
246,"HL Road Frame - Red, 48"
247,"HL Road Frame - Red, 52"
248,"HL Road Frame - Red, 52"
249,"HL Road Frame - Red, 52"
250,"HL Road Frame - Red, 56"
251,"HL Road Frame - Red, 56"
252,"HL Road Frame - Red, 56"
211,"HL Road Frame - Red, 58"
238,"HL Road Frame - Red, 62"
239,"HL Road Frame - Red, 62"
240,"HL Road Frame - Red, 62"
415,HL Road Front Wheel
407,HL Road Handlebars
408,HL Road Handlebars
547,HL Road Pedal
424,HL Road Rear Wheel
185,HL Road Rim
192,HL Road Seat Assembly
520,HL Road Seat/Saddle
540,HL Road Tire
199,HL Shell
197,HL Spindle/Axle
497,"HL Touring Frame - Blue, 46"
498,"HL Touring Frame - Blue, 50"
499,"HL Touring Frame - Blue, 54"
500,"HL Touring Frame - Blue, 60"
494,"HL Touring Frame - Yellow, 46"
495,"HL Touring Frame - Yellow, 50"
496,"HL Touring Frame - Yellow, 54"
492,"HL Touring Frame - Yellow, 60"
554,HL Touring Handlebars
195,HL Touring Seat Assembly
523,HL Touring Seat/Saddle
487,Hydration Pack - 70 oz.
98,Internal Lock Washer 1
97,Internal Lock Washer 10
100,Internal Lock Washer 2
91,Internal Lock Washer 3
92,Internal Lock Washer 4
94,Internal Lock Washer 5
96,Internal Lock Washer 6
95,Internal Lock Washer 7
99,Internal Lock Washer 8
93,Internal Lock Washer 9
81,Keyed Washer
601,LL Bottom Bracket
6,LL Crankarm
556,LL Crankset
391,LL Fork
35,LL Grip Tape
394,LL Headset
79,LL Hub
550,"LL Mountain Frame - Black, 40"
531,"LL Mountain Frame - Black, 42"
532,"LL Mountain Frame - Black, 44"
533,"LL Mountain Frame - Black, 48"
534,"LL Mountain Frame - Black, 52"
551,"LL Mountain Frame - Silver, 40"
524,"LL Mountain Frame - Silver, 42"
525,"LL Mountain Frame - Silver, 44"
526,"LL Mountain Frame - Silver, 48"
527,"LL Mountain Frame - Silver, 52"
410,LL Mountain Front Wheel
397,LL Mountain Handlebars
398,LL Mountain Handlebars
542,LL Mountain Pedal
419,LL Mountain Rear Wheel
180,LL Mountain Rim
187,LL Mountain Seat Assembly
515,LL Mountain Seat/Saddle
535,LL Mountain Tire
169,LL Nipple
279,"LL Road Frame - Black, 44"
280,"LL Road Frame - Black, 44"
281,"LL Road Frame - Black, 44"
282,"LL Road Frame - Black, 48"
283,"LL Road Frame - Black, 48"
284,"LL Road Frame - Black, 48"
285,"LL Road Frame - Black, 52"
286,"LL Road Frame - Black, 52"
287,"LL Road Frame - Black, 52"
253,"LL Road Frame - Black, 58"
254,"LL Road Frame - Black, 58"
255,"LL Road Frame - Black, 58"
256,"LL Road Frame - Black, 60"
257,"LL Road Frame - Black, 60"
258,"LL Road Frame - Black, 60"
259,"LL Road Frame - Black, 62"
260,"LL Road Frame - Black, 62"
261,"LL Road Frame - Black, 62"
262,"LL Road Frame - Red, 44"
263,"LL Road Frame - Red, 44"
264,"LL Road Frame - Red, 48"
265,"LL Road Frame - Red, 48"
266,"LL Road Frame - Red, 52"
267,"LL Road Frame - Red, 52"
268,"LL Road Frame - Red, 58"
269,"LL Road Frame - Red, 58"
270,"LL Road Frame - Red, 60"
271,"LL Road Frame - Red, 60"
272,"LL Road Frame - Red, 62"
273,"LL Road Frame - Red, 62"
413,LL Road Front Wheel
403,LL Road Handlebars
404,LL Road Handlebars
545,LL Road Pedal
422,LL Road Rear Wheel
183,LL Road Rim
190,LL Road Seat Assembly
518,LL Road Seat/Saddle
538,LL Road Tire
198,LL Shell
196,LL Spindle/Axle
510,"LL Touring Frame - Blue, 44"
502,"LL Touring Frame - Blue, 50"
503,"LL Touring Frame - Blue, 54"
504,"LL Touring Frame - Blue, 58"
505,"LL Touring Frame - Blue, 62"
506,"LL Touring Frame - Yellow, 44"
507,"LL Touring Frame - Yellow, 50"
508,"LL Touring Frame - Yellow, 54"
509,"LL Touring Frame - Yellow, 58"
493,"LL Touring Frame - Yellow, 62"
553,LL Touring Handlebars
193,LL Touring Seat Assembly
521,LL Touring Seat/Saddle
128,Lock Nut 1
129,Lock Nut 10
130,Lock Nut 11
126,Lock Nut 12
127,Lock Nut 13
135,Lock Nut 14
136,Lock Nut 15
119,Lock Nut 16
120,Lock Nut 17
139,Lock Nut 18
138,Lock Nut 19
131,Lock Nut 2
132,Lock Nut 20
133,Lock Nut 21
124,Lock Nut 22
125,Lock Nut 23
134,Lock Nut 3
137,Lock Nut 4
117,Lock Nut 5
118,Lock Nut 6
121,Lock Nut 7
122,Lock Nut 8
123,Lock Nut 9
140,Lock Ring
148,Lock Washer 1
144,Lock Washer 10
154,Lock Washer 11
150,Lock Washer 12
146,Lock Washer 13
151,Lock Washer 2
153,Lock Washer 3
142,Lock Washer 4
143,Lock Washer 5
145,Lock Washer 6
149,Lock Washer 7
147,Lock Washer 8
152,Lock Washer 9
232,"Long-Sleeve Logo Jersey, L"
233,"Long-Sleeve Logo Jersey, L"
234,"Long-Sleeve Logo Jersey, L"
229,"Long-Sleeve Logo Jersey, M"
230,"Long-Sleeve Logo Jersey, M"
231,"Long-Sleeve Logo Jersey, M"
226,"Long-Sleeve Logo Jersey, S"
227,"Long-Sleeve Logo Jersey, S"
228,"Long-Sleeve Logo Jersey, S"
235,"Long-Sleeve Logo Jersey, XL"
236,"Long-Sleeve Logo Jersey, XL"
237,"Long-Sleeve Logo Jersey, XL"
141,Lower Head Race
461,"Men's Bib-Shorts, L"
460,"Men's Bib-Shorts, M"
459,"Men's Bib-Shorts, S"
454,"Men's Sports Shorts, L"
453,"Men's Sports Shorts, M"
445,"Men's Sports Shorts, S"
455,"Men's Sports Shorts, XL"
155,Metal Angle
156,Metal Bar 1
157,Metal Bar 2
159,Metal Plate 1
158,Metal Plate 2
160,Metal Plate 3
167,Metal Sheet 1
161,Metal Sheet 2
162,Metal Sheet 3
164,Metal Sheet 4
165,Metal Sheet 5
166,Metal Sheet 6
163,Metal Sheet 7
168,Metal Tread Plate
448,Minipump
602,ML Bottom Bracket
7,ML Crankarm
557,ML Crankset
392,ML Fork
36,ML Grip Tape
395,ML Headset
409,"ML Mountain Frame - Black, 38"
426,"ML Mountain Frame - Black, 40"
427,"ML Mountain Frame - Black, 44"
428,"ML Mountain Frame - Black, 48"
549,"ML Mountain Frame-W - Silver, 38"
511,"ML Mountain Frame-W - Silver, 40"
512,"ML Mountain Frame-W - Silver, 42"
513,"ML Mountain Frame-W - Silver, 46"
411,ML Mountain Front Wheel
399,ML Mountain Handlebars
400,ML Mountain Handlebars
543,ML Mountain Pedal
420,ML Mountain Rear Wheel
181,ML Mountain Rim
188,ML Mountain Seat Assembly
516,ML Mountain Seat/Saddle
536,ML Mountain Tire
274,"ML Road Frame - Red, 44"
275,"ML Road Frame - Red, 48"
276,"ML Road Frame - Red, 52"
277,"ML Road Frame - Red, 58"
278,"ML Road Frame - Red, 60"
417,"ML Road Frame-W - Yellow, 38"
418,"ML Road Frame-W - Yellow, 38"
429,"ML Road Frame-W - Yellow, 40"
430,"ML Road Frame-W - Yellow, 40"
431,"ML Road Frame-W - Yellow, 42"
432,"ML Road Frame-W - Yellow, 42"
433,"ML Road Frame-W - Yellow, 44"
434,"ML Road Frame-W - Yellow, 44"
435,"ML Road Frame-W - Yellow, 48"
436,"ML Road Frame-W - Yellow, 48"
414,ML Road Front Wheel
405,ML Road Handlebars
406,ML Road Handlebars
546,ML Road Pedal
423,ML Road Rear Wheel
184,ML Road Rim
191,ML Road Seat Assembly
519,ML Road Seat/Saddle
539,ML Road Tire
194,ML Touring Seat Assembly
522,ML Touring Seat/Saddle
219,"Mountain Bike Socks, L"
218,"Mountain Bike Socks, M"
478,Mountain Bottle Cage
17,Mountain End Caps
449,Mountain Pump
528,Mountain Tire Tube
348,"Mountain-100 Black, 38"
349,"Mountain-100 Black, 42"
350,"Mountain-100 Black, 44"
351,"Mountain-100 Black, 48"
344,"Mountain-100 Silver, 38"
345,"Mountain-100 Silver, 42"
346,"Mountain-100 Silver, 44"
347,"Mountain-100 Silver, 48"
358,"Mountain-200 Black, 38"
359,"Mountain-200 Black, 38"
360,"Mountain-200 Black, 42"
361,"Mountain-200 Black, 42"
362,"Mountain-200 Black, 46"
363,"Mountain-200 Black, 46"
352,"Mountain-200 Silver, 38"
353,"Mountain-200 Silver, 38"
354,"Mountain-200 Silver, 42"
355,"Mountain-200 Silver, 42"
356,"Mountain-200 Silver, 46"
357,"Mountain-200 Silver, 46"
364,"Mountain-300 Black, 38"
365,"Mountain-300 Black, 40"
366,"Mountain-300 Black, 44"
367,"Mountain-300 Black, 48"
587,"Mountain-400-W Silver, 38"
588,"Mountain-400-W Silver, 40"
589,"Mountain-400-W Silver, 42"
590,"Mountain-400-W Silver, 46"
596,"Mountain-500 Black, 40"
597,"Mountain-500 Black, 42"
598,"Mountain-500 Black, 44"
599,"Mountain-500 Black, 48"
600,"Mountain-500 Black, 52"
591,"Mountain-500 Silver, 40"
592,"Mountain-500 Silver, 42"
593,"Mountain-500 Silver, 44"
594,"Mountain-500 Silver, 48"
595,"Mountain-500 Silver, 52"
171,Paint - Black
174,Paint - Blue
172,Paint - Red
173,Paint - Silver
175,Paint - Yellow
480,Patch Kit/8 Patches
176,Pinch Bolt
482,"Racing Socks, L"
481,"Racing Socks, M"
514,Rear Brakes
501,Rear Derailleur
209,Rear Derailleur Cage
179,Reflector
479,Road Bottle Cage
18,Road End Caps
529,Road Tire Tube
311,"Road-150 Red, 44"
312,"Road-150 Red, 48"
313,"Road-150 Red, 52"
314,"Road-150 Red, 56"
310,"Road-150 Red, 62"
373,"Road-250 Black, 44"
374,"Road-250 Black, 44"
375,"Road-250 Black, 48"
376,"Road-250 Black, 48"
377,"Road-250 Black, 52"
378,"Road-250 Black, 52"
379,"Road-250 Black, 58"
380,"Road-250 Black, 58"
368,"Road-250 Red, 44"
369,"Road-250 Red, 48"
370,"Road-250 Red, 52"
371,"Road-250 Red, 58"
372,"Road-250 Red, 58"
580,"Road-350-W Yellow, 40"
581,"Road-350-W Yellow, 42"
582,"Road-350-W Yellow, 44"
583,"Road-350-W Yellow, 48"
317,"Road-450 Red, 44"
318,"Road-450 Red, 48"
319,"Road-450 Red, 52"
315,"Road-450 Red, 58"
316,"Road-450 Red, 60"
381,"Road-550-W Yellow, 38"
382,"Road-550-W Yellow, 38"
383,"Road-550-W Yellow, 40"
384,"Road-550-W Yellow, 40"
385,"Road-550-W Yellow, 42"
386,"Road-550-W Yellow, 42"
387,"Road-550-W Yellow, 44"
388,"Road-550-W Yellow, 44"
389,"Road-550-W Yellow, 48"
390,"Road-550-W Yellow, 48"
338,"Road-650 Black, 44"
339,"Road-650 Black, 44"
340,"Road-650 Black, 48"
341,"Road-650 Black, 48"
342,"Road-650 Black, 52"
343,"Road-650 Black, 52"
332,"Road-650 Black, 58"
333,"Road-650 Black, 58"
334,"Road-650 Black, 60"
335,"Road-650 Black, 60"
336,"Road-650 Black, 62"
337,"Road-650 Black, 62"
326,"Road-650 Red, 44"
327,"Road-650 Red, 44"
328,"Road-650 Red, 48"
329,"Road-650 Red, 48"
330,"Road-650 Red, 52"
331,"Road-650 Red, 52"
320,"Road-650 Red, 58"
321,"Road-650 Red, 58"
322,"Road-650 Red, 60"
323,"Road-650 Red, 60"
324,"Road-650 Red, 62"
325,"Road-650 Red, 62"
604,"Road-750 Black, 44"
605,"Road-750 Black, 48"
606,"Road-750 Black, 52"
584,"Road-750 Black, 58"
201,Seat Lug
203,Seat Post
205,Seat Stays
206,Seat Tube
490,"Short-Sleeve Classic Jersey, L"
489,"Short-Sleeve Classic Jersey, M"
488,"Short-Sleeve Classic Jersey, S"
491,"Short-Sleeve Classic Jersey, XL"
200,Spokes
215,"Sport-100 Helmet, Black"
216,"Sport-100 Helmet, Black"
217,"Sport-100 Helmet, Black"
220,"Sport-100 Helmet, Blue"
221,"Sport-100 Helmet, Blue"
222,"Sport-100 Helmet, Blue"
212,"Sport-100 Helmet, Red"
213,"Sport-100 Helmet, Red"
214,"Sport-100 Helmet, Red"
204,Steerer
202,Stem
450,Taillights - Battery-Powered
208,Tension Pulley
40,Thin-Jam Hex Nut 1
39,Thin-Jam Hex Nut 10
53,Thin-Jam Hex Nut 11
52,Thin-Jam Hex Nut 12
48,Thin-Jam Hex Nut 13
49,Thin-Jam Hex Nut 14
42,Thin-Jam Hex Nut 15
43,Thin-Jam Hex Nut 16
41,Thin-Jam Hex Nut 2
46,Thin-Jam Hex Nut 3
47,Thin-Jam Hex Nut 4
44,Thin-Jam Hex Nut 5
45,Thin-Jam Hex Nut 6
50,Thin-Jam Hex Nut 7
51,Thin-Jam Hex Nut 8
38,Thin-Jam Hex Nut 9
103,Thin-Jam Lock Nut 1
102,Thin-Jam Lock Nut 10
116,Thin-Jam Lock Nut 11
115,Thin-Jam Lock Nut 12
111,Thin-Jam Lock Nut 13
112,Thin-Jam Lock Nut 14
105,Thin-Jam Lock Nut 15
106,Thin-Jam Lock Nut 16
104,Thin-Jam Lock Nut 2
109,Thin-Jam Lock Nut 3
110,Thin-Jam Lock Nut 4
107,Thin-Jam Lock Nut 5
108,Thin-Jam Lock Nut 6
113,Thin-Jam Lock Nut 7
114,Thin-Jam Lock Nut 8
101,Thin-Jam Lock Nut 9
207,Top Tube
19,Touring End Caps
416,Touring Front Wheel
548,Touring Pedal
425,Touring Rear Wheel
186,Touring Rim
541,Touring Tire
530,Touring Tire Tube
573,"Touring-1000 Blue, 46"
574,"Touring-1000 Blue, 50"
575,"Touring-1000 Blue, 54"
576,"Touring-1000 Blue, 60"
561,"Touring-1000 Yellow, 46"
562,"Touring-1000 Yellow, 50"
563,"Touring-1000 Yellow, 54"
564,"Touring-1000 Yellow, 60"
577,"Touring-2000 Blue, 46"
578,"Touring-2000 Blue, 50"
579,"Touring-2000 Blue, 54"
560,"Touring-2000 Blue, 60"
585,"Touring-3000 Blue, 44"
586,"Touring-3000 Blue, 50"
565,"Touring-3000 Blue, 54"
566,"Touring-3000 Blue, 58"
567,"Touring-3000 Blue, 62"
568,"Touring-3000 Yellow, 44"
569,"Touring-3000 Yellow, 50"
570,"Touring-3000 Yellow, 54"
571,"Touring-3000 Yellow, 58"
572,"Touring-3000 Yellow, 62"
446,"Touring-Panniers, Large"
477,Water Bottle - 30 oz.
476,"Women's Mountain Shorts, L"
475,"Women's Mountain Shorts, M"
474,"Women's Mountain Shorts, S"
458,"Women's Tights, L"
457,"Women's Tights, M"
456,"Women's Tights, S"
